"","Record.ID","Catalog.Nu","Match.Taxo","Scientific","Vernacular","Matched.Sc","Taxon.Rank","Vernacul_1","Kingdom..","Phylum...m","Class...ma","Order...ma","Family...m","Genus...ma","Species..","Subspecies","Institutio","Collection","locality","Latitude..","Longitude","geodetic.D","Latitude_1","Longitud_1","Coordinate","Country..","Collector","Year...par","Month...pa","Event.Date","Basis.Of.R","Basis.Of_1","Sex","Outlier.fo","Taxon.iden","Location.Q","Data.Resou","Data.Res_1","Occurrence","Coordina_1","Country.in","Data.are.g","Coordina_2","Coordina_3","First.of.t","First.of_1","First.of_2","Geodetic_1","Incomplete","Possible.d","Invalid.co","Coordina_4","Coordina_5","Collecti_1","Institut_1","unrecognis","Unrecogniz","coords.x1","coords.x2","optional"
"3240","c16dc65c-b8ff-4992-b17d-dbaacb821d05","URN:CornellLabOfOrnithology:EBIRD:OBS444809753","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"Lamington National Park",-28.2130544,153.1515598,NA,-28.2130544,153.1515598,NA,"Australia","S32675200 eBird - Traveling Count","2016","11","2016-11-21",NA,"HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1515598,-28.2130544,TRUE
"3241","0f983512-f3a7-4363-9bf9-249b9d3c5b7f",NA,"urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,NA,-28.5,152.5,NA,-28.5,152.5,54000,"Australia",NA,"1920","1",NA,NA,"HumanObservation",NA,NA,"noIssue","true","dr570","Historical Bird Atlas","true","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","false","false","false",152.5,-28.5,TRUE
"3242","feba779f-8249-46c1-b4f4-6b5f702a5a41","URN:CornellLabOfOrnithology:EBIRD:OBS445322839","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"O'Reilly's Rainforest Retreat",-28.231186,153.1358528,NA,-28.231186,153.1358528,NA,"Australia","S32718031 eBird - Traveling Count","2016","11","2016-11-24",NA,"HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1358528,-28.231186,TRUE
"3243","8e7f67e4-c553-4927-987e-7b77c5840c53","URN:CornellLabOfOrnithology:EBIRD:OBS445909487","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"O'Reilly's Rainforest Retreat",-28.231186,153.1358528,NA,-28.231186,153.1358528,NA,"Australia","S32762636 eBird - Casual Observation","2016","11","2016-11-07",NA,"HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.1358528,-28.231186,TRUE
"3244","dcbb4d21-4263-4c7f-8dec-242e7f766a12","X17700","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata",NA,"Passeriformes","Menuridae","Menura","Menura alberti",NA,"ANWC","Sounds","Nemarotu"" Wilsons Creek via Mullumbimby""",-28.5667,153.4,NA,-28.5667,153.4,1000,"Australia","Stewart, D.","1993","10","1993-10-05","MachineObservation","MachineObservation","not recorded",NA,"noIssue","true","dr341","Australian National Wildlife Collection provider for OZCAM","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.4,-28.5667,TRUE
"3245","a391c574-567b-41e6-9f88-4b95f3841ead","URN:CornellLabOfOrnithology:EBIRD:OBS286901933","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,"AU-QLD-O'reilly-3544 Lamington National Park Rd",-28.230479,153.130955,"EPSG:4326",-28.230479,153.130955,NA,"Australia","Jeff Skevington","2014","12","2014-12-25","HumanObservation","HumanObservation",NA,NA,"noIssue","true","dr2009","eBird Australia","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",153.130955,-28.230479,TRUE
"3246","a5ffb835-157a-4ff6-ad81-2c4ba3ff5856","X17750","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata",NA,"Passeriformes","Menuridae","Menura","Menura alberti",NA,"ANWC","Sounds","Nemarotu"" Wilsons Creek via Mullumbimby""",-28.5667,153.4,NA,-28.5667,153.4,1000,"Australia","Stewart, D.","1993","10","1993-10-05","MachineObservation","MachineObservation","not recorded",NA,"noIssue","true","dr341","Australian National Wildlife Collection provider for OZCAM","false","true","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",153.4,-28.5667,TRUE
"3247","00722a62-3867-4eb3-acc7-8775fabcf563","SF-461085","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,"NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld",-28.618706819,153.326381511,"GDA94",-28.618706818,153.326381511,100,"Australia","SFOBS-070","1995","5","1995-05-30","HumanObservation","HumanObservation","Unknown",NA,"noIssue","true","dr368","OEH Atlas of NSW Wildlife","false","false","false","true","false","true","false","false","false","false","false","true","false","false","false","true","true","false","false",153.326381511,-28.618706818,TRUE
"3248","3de6f87b-0f75-41b3-9fe0-51ce7473c9e3",NA,"urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","""Menura alberti""","""Albert's Lyrebird""","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,NA,NA,NA,-28.1,152.4,NA,-28.1,152.4,9000,"Australia",NA,"1979","1",NA,NA,"HumanObservation",NA,NA,"noIssue","true","dr571","First Bird Atlas","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",152.4,-28.1,TRUE
"3249","ae94ee9b-57f9-4a81-b3e8-aa304bf0f2ed","SF-461112","urn:lsid:biodiversity.org.au:afd.taxon:f53799c9-f472-472f-b647-d1dec0e566b3","Menura alberti","Albert's Lyrebird","Menura (Harriwhitea) alberti","species","Albert's Lyrebird","Animalia","Chordata","Aves","Passeriformes","Menuridae","Menura","Menura alberti",NA,"NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld",-28.518713616,153.347463218,"GDA94",-28.518713615,153.347463218,100,"Australia","SFOBS-070","1995","5","1995-05-29","HumanObservation","HumanObservation","Unknown",NA,"noIssue","true","dr368","OEH Atlas of NSW Wildlife","false","false","false","true","false","true","false","false","false","false","false","true","false","false","false","true","true","false","false",153.347463218,-28.518713615,TRUE
